id,country,code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
887,Yemen,YEM,6.18,3.8,3.94,3.75,3.97,5.59,3.17,3.34,4.01,4.13,3.32,-15.09,2.47,4.16
894,Zambia,ZMB,3.52,4.89,3.32,5.13,5.4,5.34,6.25,6.16,6.05,6.04,7.62,6.84,7.27,6.35
446,Macao (China),MAC,5.7,2.9,8.9,12.59,26.88,8.56,14.42,14.33,3.39,1.71,27.5,21.29,9.14,11.89
90,Solomon Islands,SLB,-14.27,-7.98,-2.8,6.5,4.9,5.42,6.95,7.32,7.09,-4.73,7.82,10.7,4.86,2.95
344,Hong Kong (China),HKG,7.66,0.56,1.66,3.06,8.7,7.39,7.03,6.46,2.13,-2.46,6.77,4.79,1.55,2.93
583,Micronesia,FSM,4.56,1.75,0.6,1.83,-3.23,2.16,-0.16,-2.06,-2.56,0.96,2.53,2.05,0.43,0.65
533,Aruba,ABW,-0.36,-2.16,0.47,7.52,1.18,0.38,2.36,-3.65,-6.88,-5.65,n/a,n/a,n/a,n/a
,American Samoa,ASM,,,,,,,,,,,,,,
60,Bermuda,BMU,9.32,7.22,-1.48,3.41,2.32,1.67,5.54,2.85,1.53,-5.28,-2.09,-3.34,-4.87,n/a
,Curacao,CUW,,,,,,,,,,,,,,
,Cayman Islands,CYM,,,,,,,,,,,,,,
,Faeroe Islands,FRO,,,,,,,,,,,,,,
,Guam,GUM,,,,,,,,,,,,,,
,Isle of Man,IMN,5.34,5.38,5.87,6.33,5.2,5.9,7.7,7.5,n/a,n/a,n/a,n/a,n/a,n/a
,St. Martin (French part),MAF,,,,,,,,,,,,,,
,Northern Mariana Islands,MNP,,,,,,,,,,,,,,
540,New Caledonia,NCL,2.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
630,Puerto Rico,PRI,6.31,1.5,2.17,2.34,1.99,-1.99,-1.41,-1.16,-1.84,-1.95,-0.41,-0.26,0.52,n/a
,French Polynesia,PYF,4,,,,,,,,,,,,,
,Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,
,Turks and Caicos Islands,TCA,,,,,,,,,,,,,,
,Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,
254,French Guiana (France),FRA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
238,Falkland Islands (UK),GBR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
260,Southern Territories (France),FRA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10,Antarctica,ANT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
239,South Georgia Islands (UK),SGI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
158,Taiwan (China),TWN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.1,1.3,2.2
